performer_id,name,is_active,country_id,genre
6,Alesso 304,True,976,R&B
7,David Guetta 1,True,723,K-Pop
8,Skrillex 452,True,739,Jazz
15,Marshmello 72,True,986,Jazz
18,Kygo 807,False,260,J-Pop
19,Hardwell 134,True,611,Drum & Bass
21,Martin Garrix 394,False,861,Latin
22,Avicii 520,True,570,Soul
23,Diplo 529,True,523,Reggae
34,Skrillex 303,False,545,Gospel
39,Avicii 921,True,146,Chillout
45,Marshmello 763,False,560,Electronic
46,Hardwell 429,True,614,Alternative
48,Zedd 69,False,599,Alternative
50,Marshmello 231,True,806,Metal
52,Tiësto 930,False,749,Trance
58,Skrillex 516,True,178,Blues
59,Kygo 582,False,624,Ska
62,David Guetta 566,False,306,Gospel
64,Diplo 555,True,690,Indie
69,Marshmello 43,False,727,Soul
71,Hardwell 222,False,939,Chillout
72,Avicii 67,True,525,Hardstyle
73,Alesso 868,False,927,Folk
74,Martin Garrix 475,True,205,Classical
77,Zedd 748,False,101,Metal
79,Tiësto 88,True,255,Punk
81,Alesso 564,True,571,Jazz
83,Tiësto 658,False,359,J-Pop
84,Steve Aoki 826,False,127,Ambient
86,Armin van Buuren 840,False,851,R&B
87,Skrillex 558,True,410,Latin
88,Alesso 614,True,298,Folk
89,Kygo 325,False,918,Classical
91,Armin van Buuren 156,True,551,Indie
93,Hardwell 849,False,328,Dubstep
96,David Guetta 585,True,862,Dubstep
97,Hardwell 163,True,626,Techno
99,Tiësto 701,True,857,K-Pop
106,Alesso 717,False,707,Punk
109,Hardwell 548,False,992,Opera
110,Marshmello 333,False,498,Jazz
113,Alesso 527,True,761,Reggae
115,Hardwell 964,False,473,Dubstep
117,Martin Garrix 663,False,409,Trance
120,Tiësto 980,False,597,HipHop
121,Diplo 670,False,306,Trance
122,Kygo 814,True,265,Soul
124,Armin van Buuren 470,False,228,Electronic
127,Martin Garrix 26,True,906,Classical
128,David Guetta 386,False,428,Country
132,Calvin Harris 584,False,465,Latin
136,Deadmau5 541,False,393,Latin
138,Hardwell 529,True,31,Ambient
140,Hardwell 46,False,449,J-Pop
149,David Guetta 72,True,922,Funk
152,Hardwell 655,False,12,Indie
155,Calvin Harris 294,False,785,Latin
157,Calvin Harris 675,False,548,Ska
158,Zedd 542,False,268,Jazz
161,Deadmau5 599,False,757,Ambient
164,Alesso 974,False,512,Country
166,David Guetta 891,False,228,Soul
167,Zedd 448,True,213,House
170,Skrillex 628,False,703,R&B
172,Diplo 301,True,957,Country
173,Martin Garrix 150,True,296,Trance
174,Kygo 987,True,747,Metal
178,Calvin Harris 854,False,576,Funk
179,Skrillex 465,False,242,Drum & Bass
180,Avicii 374,False,86,Pop
183,Calvin Harris 468,False,820,Lounge
185,Deadmau5 645,True,433,Gospel
188,Tiësto 601,True,607,Reggae
189,Zedd 947,False,374,Electronic
191,Alesso 361,False,770,J-Pop
196,Martin Garrix 476,True,915,Funk
201,Calvin Harris 172,True,305,Pop
204,Martin Garrix 349,False,748,Classical
205,Avicii 858,False,536,Jazz
206,Hardwell 713,True,390,Grunge
207,Tiësto 259,True,864,Pop
208,Deadmau5 600,True,156,Ambient
213,Avicii 131,False,527,Punk
216,Alesso 702,True,982,R&B
217,Skrillex 884,False,166,Jazz
