festival_performer_id,performer_id,festival_id,festival_period
200631,812,1,"[2025-11-27, 2025-12-05)"
200632,171,1,"[2025-11-27, 2025-12-05)"
200633,602,1,"[2025-11-27, 2025-12-05)"
200634,41,1,"[2025-11-27, 2025-12-05)"
200635,843,1,"[2025-11-27, 2025-12-05)"
200636,450,1,"[2025-11-27, 2025-12-05)"
200637,879,1,"[2025-11-27, 2025-12-05)"
200638,264,1,"[2025-11-27, 2025-12-05)"
200639,51,1,"[2025-11-27, 2025-12-05)"
200640,816,1,"[2025-11-27, 2025-12-05)"
200641,357,1,"[2025-11-27, 2025-12-05)"
200642,220,1,"[2025-11-27, 2025-12-05)"
200643,845,1,"[2025-11-27, 2025-12-05)"
200644,588,1,"[2025-11-27, 2025-12-05)"
200645,782,1,"[2025-11-27, 2025-12-05)"
200646,661,1,"[2025-11-27, 2025-12-05)"
200647,951,1,"[2025-11-27, 2025-12-05)"
200648,234,1,"[2025-11-27, 2025-12-05)"
200649,116,1,"[2025-11-27, 2025-12-05)"
200650,312,1,"[2025-11-27, 2025-12-05)"
200651,101,1,"[2025-11-27, 2025-12-05)"
200652,482,1,"[2025-11-27, 2025-12-05)"
200653,446,1,"[2025-11-27, 2025-12-05)"
200654,860,1,"[2025-11-27, 2025-12-05)"
200655,598,1,"[2025-11-27, 2025-12-05)"
200656,950,1,"[2025-11-27, 2025-12-05)"
200657,241,1,"[2025-11-27, 2025-12-05)"
200658,937,1,"[2025-11-27, 2025-12-05)"
200659,364,1,"[2025-11-27, 2025-12-05)"
200660,862,1,"[2025-11-27, 2025-12-05)"
200661,318,1,"[2025-11-27, 2025-12-05)"
200662,152,1,"[2025-11-27, 2025-12-05)"
200663,756,1,"[2025-11-27, 2025-12-05)"
200664,725,1,"[2025-11-27, 2025-12-05)"
200666,456,1,"[2025-11-27, 2025-12-05)"
200667,855,1,"[2025-11-27, 2025-12-05)"
200668,86,1,"[2025-11-27, 2025-12-05)"
200669,673,1,"[2025-11-27, 2025-12-05)"
200670,528,1,"[2025-11-27, 2025-12-05)"
200671,660,1,"[2025-11-27, 2025-12-05)"
200672,692,1,"[2025-11-27, 2025-12-05)"
